min well Pumping (gpm),% decrease in pumping,Wells Total Q (gpm),"total_depletion
(cfs)","total_depletion
(gpm)"," 8.6 (PRF @ Hoover) - total_depletion
(cfs)
*tells us how much water will be coming through the Hoover gage with that reduction"
,0,46932,4.35,1099.63,4.25
150,10,45390,4.15,1187.92,4.45
150,20,43902,3.82,1337.51,4.78
150,30,37573,3.3,1569.30,5.3
150,40,33664,3.02,1694.78,5.58
150,50,29756,2.45,1950.67,6.15
150,60,25847,2.03,2141.35,6.57
150,70,21939,1.6,2331.96,7
200,10,46124,4.19,1171.45,4.41
200,20,42845,3.8,1346.49,4.8
200,30,39566,3.4,1526.02,5.2
200,40,36184,3.01,1702.86,5.59
200,50,32905,2.61,1880.60,5.99
200,60,29626,2.22,2055.50,6.38
200,70,26348,1.83,2231.80,6.77
250,10,46771,4.26,1912.02,4.340
250,20,44243,3.94,1769.87,4.657
250,30,41716,3.63,1627.40,4.974
250,40,39189,3.31,1484.94,5.292
250,50,36661,2.99,1342.47,5.609
250,60,34134,2.67,1200.07,5.926
250,70,31607,2.36,1057.69,6.243
300,10,47616,4.38,1965.88,4.22
300,20,45935,4.19,1880.60,4.41
300,30,44253,3.99,1790.83,4.61
300,40,42571,3.8,1704.17,4.8
300,50,40889,3.6,1615.79,5
300,60,39207,3.41,1530.51,5.19
300,70,37525,3.21,1440.74,5.39
