 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  20. 4.2026    Time:  18:56:43
 Units: L = cm   , T = sec  , M = mmol 



                               Node( 51)

         time            h        theta    Flux  
          1.0000       -1.00  0.4286 -0.760E-02
         10.0000       -1.00  0.4286 -0.760E-02
         50.0000       -1.02  0.4285 -0.756E-02
        100.0000       -1.18  0.4278 -0.732E-02
        250.0000       -1.87  0.4228 -0.631E-02
        500.0000       -2.78  0.4100 -0.489E-02
       1000.0000       -3.96  0.3832 -0.319E-02
       2000.0000       -5.44  0.3398 -0.168E-02
       3000.0000       -6.27  0.3140 -0.113E-02
       4000.0000       -7.10  0.2886 -0.747E-03
       5000.0000       -7.50  0.2768 -0.599E-03
       6000.0000       -7.91  0.2660 -0.504E-03
       7000.0000       -8.42  0.2528 -0.401E-03
       8000.0000       -8.89  0.2404 -0.312E-03
       8200.0000       -8.97  0.2383 -0.297E-03
       9000.0000       -9.22  0.2319 -0.256E-03
      10000.0000       -9.36  0.2283 -0.234E-03
end
