Hour,theta_start,K_cm_per_h,delta_theta,theta_end,cumulative_drainage_cm
1,0.43,29.7,-0.297,0.133,29.7
2,0.133,0.05225959066640302,-0.0005225959066640301,0.13247740409333597,29.7522595906664
3,0.13247740409333597,0.05110518227667381,-0.0005110518227667381,0.13196635227056924,29.803364772943077
4,0.13196635227056924,0.04999464777810817,-0.0004999464777810818,0.13146640579278815,29.853359420721183
5,0.13146640579278815,0.04892563792804168,-0.0004892563792804168,0.13097714941350774,29.902285058649227
6,0.13097714941350774,0.04789596481797488,-0.0004789596481797488,0.13049818976532798,29.950181023467202
7,0.13049818976532798,0.0469035884203184,-0.000469035884203184,0.1300291538811248,29.99708461188752
8,0.1300291538811248,0.045946604449344265,-0.00045946604449344263,0.12956968783663134,30.043031216336864
9,0.12956968783663134,0.045023233389700906,-0.00045023233389700906,0.12911945550273432,30.088054449726563
10,0.12911945550273432,0.044131810564194816,-0.00044131810564194816,0.12867813739709238,30.13218626029076
11,0.12867813739709238,0.043270777128344436,-0.00043270777128344434,0.12824542962580893,30.175457037419104
12,0.12824542962580893,0.04243867189287287,-0.0004243867189287287,0.1278210429068802,30.21789570931198
13,0.1278210429068802,0.04163412388712538,-0.0004163412388712538,0.12740470166800896,30.259529833199103
14,0.12740470166800896,0.04085584558665363,-0.0004085584558665363,0.12699614321214242,30.300385678785755
15,0.12699614321214242,0.04010262673714132,-0.0004010262673714132,0.12659511694477102,30.340488305522896
16,0.12659511694477102,0.03937332871460757,-0.00039373328714607564,0.12620138365762495,30.379861634237503
17,0.12620138365762495,0.038666879368621926,-0.00038666879368621924,0.12581471486393875,30.418528513606127
18,0.12581471486393875,0.037982268301204214,-0.00037982268301204214,0.1254348921809267,30.45651078190733
19,0.1254348921809267,0.03731854253928594,-0.0003731854253928594,0.12506170675553385,30.493829324446615
20,0.12506170675553385,0.036674802563185616,-0.00036674802563185614,0.124694958729902,30.530504127009802
21,0.124694958729902,0.03605019865757568,-0.0003605019865757568,0.12433445674332624,30.56655432566738
22,0.12433445674332624,0.035443927554958884,-0.00035443927554958886,0.12398001746777665,30.601998253222337
23,0.12398001746777665,0.0348552293448115,-0.000348552293448115,0.12363146517432853,30.636853482567147
24,0.12363146517432853,0.034283384624310784,-0.00034283384624310783,0.12328863132808543,30.671136867191457
